Variável,Importância média,Desvio padrão
alcohol,0.3092168332814102,0.06373634905115134
volatile acidity,0.2612243882051509,0.09149318322629402
citric acid,0.23431594227728603,0.059023192489049345
sulphates,0.1557095562218352,0.04490255696884003
total sulfur dioxide,0.14446940527400615,0.06173670853876471
fixed acidity,0.09872654481302756,0.036515591399869825
density,0.08264143334725005,0.05510128547550185
chlorides,0.06581597948587008,0.051593728714110505
free sulfur dioxide,0.0607011559340717,0.027526784912776957
pH,0.0483619290314698,0.0397507508126514
residual sugar,0.010461528007429343,0.033176941057987984
