Feature,Mean importance,Std importance
alcohol,0.33971215329763244,0.08418135812860492
volatile acidity,0.2990495151655853,0.09549812749985026
citric acid,0.2560922380270382,0.07171284907887553
sulphates,0.16494821048080754,0.042844952963938865
total sulfur dioxide,0.14402461365610772,0.05595112888515693
density,0.10587709839806018,0.04763787660184373
fixed acidity,0.08925754682669582,0.035216760009070876
pH,0.07047132228445832,0.035013196432054715
free sulfur dioxide,0.0686535229476406,0.02615237867454439
chlorides,0.06092058826726661,0.03594491688675671
residual sugar,0.01947321492699646,0.03543307569619466
