Feature,Mean importance,Std importance
alcohol,0.3313194134588926,0.07910078690676185
volatile acidity,0.2727088554161984,0.08638328437960868
citric acid,0.25655652133713247,0.07143435147016197
sulphates,0.15881325133591198,0.04209870548212723
total sulfur dioxide,0.14584447270561565,0.05599660189925587
fixed acidity,0.0915198505411159,0.03506488289260238
density,0.07921528411434121,0.04370273762945766
pH,0.06702379047663373,0.036014567969206546
chlorides,0.06544325953541903,0.04855664265566664
free sulfur dioxide,0.05915241336011905,0.026718557500678756
residual sugar,0.00442787728628854,0.035857135396360755
